title,source,country,bias,search_keyword,final_sentiment_score,sentiment_intensity_score,vader_score,google_score,huggingface_score,url
"How South Korea’s President Planned a Military Takeover, Then Blew It",The New York Times,US,liberal,election fraud,0.38008932322263717,0.6,0.5,0.44999999925494194,0.00044661760330200195,https://news.google.com/rss/articles/CBMiowFBVV95cUxPQzNTNFBrMFdIWG5PSC1Fem5YMHRkZjJwc3ZUNTV1dDN3WnNYYUxIT2hNVVBIQjk4bWQ2Qm1EVjBFbVRWSVYxTG95eGpWQ2pvU3ppRUhRYUVYV05lX2VpS24wOXVPMFRaOXZEdmhSQVc5VS05RVEtc0NWNXB6anUxZ2RsZnFTR3lnVU5YTS1yOFF1bmpJNFdyTzYwbktNcTNXYUdz?oc=5
"ActBlue, the Democratic Fund-Raising Powerhouse, Faces Internal Chaos",The New York Times,US,liberal,election fraud,0.28576301538467413,0.6,0.21405000000000002,0.5,0.0007150769233703613,https://news.google.com/rss/articles/CBMimAFBVV95cUxPMjZGSU1vZk02c2tCNUN3SUh6OVFPZktMeS1famxpaldDcWItZ3pBcWZ2MElpTHpHN1JTR1VXM256NTR2QjJORjg1SmpYbTY0UzhkblUwQUduYThicDBpWlhvbjBBMjdPanlTSk96QjBTWmU4UEU4Z3hYN1l1YkNsenhEZTdsZC04OUhIbFBRQ296T2J5YlpMdA?oc=5
Trump Pardons Ex-Tennessee State Senator Imprisoned for Campaign Fraud,The New York Times,US,liberal,election fraud,0.1702875038433075,0.6,0.12469999999999998,0.29999999701976776,0.002037525177001953,https://news.google.com/rss/articles/CBMihwFBVV95cUxQTVNVMWdVcnlMMHFRZDAtZEthdGdNZThTeEFLTHZNa2k2YUJyYVdHbFhEaV82eVBrWXpKQ3BRUl9fejZkM3d1emlFWUJTY042ZUhVRFc4eEI4cjB1LW83Y2d3RGk5Sk9EVHpYVTFHRkN3OURER21SXzhyYnFkZFJtT3lINHNTQ0U?oc=5
Musk and His Millions Enter Wisconsin Supreme Court Race,The New York Times,US,liberal,election fraud,0.5607581762313842,0.6,0.901,0.5,0.0017908811569213867,https://news.google.com/rss/articles/CBMijgFBVV95cUxPN194SUM3c3h3Sl92RWltdWFoMGZDcEZIZGpXRExhMFQ4NzY3RVBSU3RBMDB4RlFWamo1X1dMRWthNjZyNk4xTmdhRVZDd2xUUnFvbDVxaGhHRkZMY1hhMGNXSUpzaFlINnpGVmVNb09GcjVqMzAwb04wX1NwNi1USl9QbW4yd19yRTNESHJR?oc=5
Sam Bankman-Fried Ramps Up Effort for a Pardon From Trump,The New York Times,US,liberal,election fraud,0.5328834751057625,0.6,0.7787,0.5500000007450581,0.007017374038696289,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNb3Ftd3c1UDloVFJzVDAxYWtDekdVUmRBaFR3MUZNbF8wclBFSHpHRGZfS2ZpRnh4ZU1hNjE1MGhzdkRBYkpCUWtlR3k5TUU3NjU4eVQ2Q2FUd3I4ck1ydVhJMzdrNDFIaGdiRFdMR0I1dUtFdUprNFc5bUFPbm1WWVJSUmNLbW9y?oc=5
"Elon Musk’s paranoid conspiracy theory about Social Security, explained",CNN,US,liberal,election fraud,0.2013137343597412,0.5,0.14079999999999998,0.3499999940395355,0.02496868371963501,https://news.google.com/rss/articles/CBMiqwFBVV95cUxORUJkT2pHY3FCR3paVHRnOVE2WVlYMEdMTjlmbU16TnkxSC1KYnVGQTB6azR4YTJ5R0RibElIU3M5c3VkWXhMb2UxclFOVncxM24tdGltMV9xYmJSNEpDV1p2UTNRY0gzNHk2ZktVWmlaaWE2YmpESXkza2poVUQwRmx5VWF5alB1SEhRdUNtWDUtbTlNQ2ZIbmdCQWRCOGIxZG5XU0FCUFhPak3SAaIBQVVfeXFMTWhqQjNGdTNvbE8xVmEwRllOb2VHRzJTeFRMU2IzM0h0T3VwSUwzcTVoek1tZnkzTDBCZlp4UnB4UHlPUGU3QXVZOHI3S0gtbTJQVEpBQ25iVWdFUWNBR3VWSzZ3MnIzN1J2ZjZXNWd2bkVRS24xc214OFJNclFOWF9pUGJrTTZIeG5rbUM1YkhYNXdIS0FwZVNVaUY0aThBMGlB?oc=5
"President Trump’s speech to Congress, annotated and fact-checked",CNN,US,liberal,election fraud,0.4004832744598389,0.6,0.5,0.5,0.002416372299194336,https://news.google.com/rss/articles/CBMimwFBVV95cUxQVUVPZmRzOGczN0g0SzFJWGxURndUYmZpZVF4TEJUckN6M1dCZnlrRElFQ3pmcnpBNW1LSFFiSVFZbmItNEpCbzV0N1AzdjlsRGc1YnF6cXpvMUVLSzhNTWswT3RSWlJ0b2ZldkVveWkwQUpBazlOZUdzUDFvSHNjWmNzT2dxTGZnVlVkZm95RVRldmFtOG95S3dLVQ?oc=5
Fact-checking Trump’s address to Congress,CNN,US,liberal,election fraud,0.4003145217895508,0.6,0.5,0.5,0.0015726089477539062,https://news.google.com/rss/articles/CBMijAFBVV95cUxQSmF5ZFNoRHB4ZkpHMi1WN2UxbDRlczhPSUVRRS00LUlUazlqRkhQQjNUanBNNHR5MWZXOExaTGxua3RqNTU0WjAwQ2doZGxBYnRSeG9nTUQxc1RZSFB2RzU0aWQ4UGxadjliZUVpVGNBZkFIc2dSamVTaGtBMGQ5WXRXeDU0TTBxdnhIcNIBgwFBVV95cUxNTnJXRXYwX282aVNrUWdRMzdsM1gyMnVMWXdIclRpX1lQZUhjR3AyaFpycTdfX0NBbHlOVEdzMUZHRy0xOGlfaUE4VnBreU9tNG1nLVFvQzh1Y0ZRc1p4YmNtaE5mNWMyR0hkcF8tVkQtMFFCSmZlUFA5dkdHbnM2MmR1SQ?oc=5
Fact check: Eight ways Elon Musk has misled Americans about government spending,CNN,US,liberal,election fraud,0.24163689613342287,0.4,0.5,0.09999999403953552,0.008184492588043213,https://news.google.com/rss/articles/CBMijgFBVV95cUxNY2tQcHBqeDl5c09XampqemE1MGg4bzBlVXVzbldDOGplcnlfREVxYmhpTWZ0TDM5eXR4MmhXSWw0N1ZWQ1RmWm1DNFN2ZmlqVjRGVmRhUFJsZ2VJTWlkZ2UwaUVMQTV1Qnl0SU1OczFRN3lNLWdwT1RFTTlWYkI2eVp2WFh0T25OX0FpYi1n0gGEAUFVX3lxTE9DT2paYUVIRldFN1NIRUQtM2Y2Zm5wYjRmLTFFSzZDOGJHSGNhVERJWHpXYjBmbE9LbzVibGFzY21TbkhfMHdZZi1mMF9hVVVlYjBoTGVkd3JhcWQzald0UzZ4WHJ1Zk9TUVdibkM5Vy0tLXhBa3JPUVNtSDROQzVlR1ZISA?oc=5
"March 8, 2025: Donald Trump presidency news",CNN,US,liberal,election fraud,0.40025973320007324,0.6,0.5,0.5,0.001298666000366211,https://news.google.com/rss/articles/CBMijgFBVV95cUxQTU5TQkJDa011OC1tdkpKNkZWUGxwVFlQQkRtUTlueWtjQ25vbURvODF6SVhNcGpFSkNjbktFUHhlNmQzSGdZVlJmV1pBRk9JRFV0THpXMXhpeV9ubWFSQTRjX2t0TTh6U3RuUTlxQmVoTklBdjBIV2k4OWFVQ3BtMXF1WWQ5WHNQYkFUMXJB?oc=5
Fair Election Fund urges FCC to hold CBS accountable for 'unlawful conduct’ related to ’60 Minutes’ interview,Fox News,US,conservative,election fraud,0.36451654590606697,0.6,0.6591,0.25,0.004382729530334473,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPcTVhZGlNSDh1U3NtTVE5WHFlMkxnVC1QTGR2QkUzdE0xSVFuZzYzZzMzUHlRa0dYRFlHaDYxUHIwTHB2SUNfemdXbm1jeTluaFd3MFZqUWdiaXhWeG9PejFPRW1GNEhLNzNMZ2JUeG5HM0t2cVAzaHdFcU56cnQ2M1l5dmJSTlRiNVhLdVpBZThCZkdKak9ObG80UUlYZGZGUWlqbU5MWFY1emREZElXd0RqdlZtN29tdUZXT0U0bVprT1XSAcgBQVVfeXFMT3lzRWhCR0p6SllXaVRFdWdPRVZFdWxGMXJUc2dMR09tSktZYnBlXzh2M2ZnRVp3MW9hb2c3UldMaU4wTDdvS1J0dHg2VC1CYjNteTJxQmJLbjZDSG4zN29SNGh5bHpiS3lJdGNqd05WNTlrb3dWMHBuazZYazNFVnZnVmVPcXA1cnczVFlyVjRiNHhSZ3BkUHpsOG0xNVdIWGtDdERpZEJ2elRlWlNBbmthaVpXNmJSWXF6SlRBbFFOM3k5bFpHaXY?oc=5
'Fulfill the mandate': New election integrity report calls for critical changes to guarantee secure elections,Fox News,US,conservative,election fraud,0.5663040040659905,0.6,0.9417,0.44999999925494194,0.04812002182006836,https://news.google.com/rss/articles/CBMizAFBVV95cUxOd3ItM29GSDBUTkJRdDlrX0ZsX0FmWFRmU0V1Um5KRS0tMUxMWE41MlhxUXBra0ZEeWR6cU9rSlJFVXg1V1R6YkpubmJNeGFRZkxFQ3QyY09mNkF6LUwxZWhPelN1bGNhMVQxbmRxcktsejYxVWlhMXVWWmItOTlsT0d3dVVLQlpfSkdmSk5LU1JILWVfMktFVWd6MlVERDI3T1h3OGFkcXNsTVJRaUcxNVAybzV1Qzl3N0h5WXcyaDlzUUNwM24tejNkenrSAdIBQVVfeXFMUHMtdW1FVDhRZllIZmNrcXlkekR1S1U2SUQxUnpoVHlhb1ZsblFqX0lzYTNzZzFFTWlBeGotek1ITjJfbU13azdaaXZGZHBYSzQydW5QVEpZR0owRWt5djBPcHZoVzdHMFQ2aXNQVDdaaXFNM0xnVTNZY0NvSzBYZUNweWFsX1B3LXYwVmpTNnZxQlpHYlExcmJqOHJzZ1pSbFdZZTdLUnNnUC1BeVlMalhIZkQ0dzFSSXlJRFRsU081TXJmQlBMR19BX0tCUnhHbmZ3?oc=5
Romania blocks frontrunner from postponed presidential race,Fox News,US,conservative,election fraud,0.2375358623838425,0.5,0.17015000000000002,0.3999999985098839,0.04737931489944458,https://news.google.com/rss/articles/CBMikwFBVV95cUxNb20xdENza0dKVnNrN0tjVjZTOFIwS05yTXY4LXB6X00yRUVfMm9vY1p6WHB3enpBTVluT0Etb3N3VlZBOF9TVGNmQ0tqbWZET09BWFpwc0VHaWhYVm5jUGQtTmZWa3dCWG9QamNHZHZzczZjQWRIcU9tTUdTNEloYkxndE5UR3p2eTd3UDJVOXFIeEnSAZgBQVVfeXFMTlkwc05fVnZ1c3gtekY5bGt2aUR0bnhHNDRhR29PT3kyRWg3czZEOEpnenFBR3NlSWRkaUZoY3hHQUlsWldZSnl6ZUNtWGpwRFEyRHQ0VDZCTnJhR3d0T0h0UlVTc01nakdQeXpxY2hUMXRjd25nR1hPV2x0VDRRVV9wbVVRNnFNNmFXOEEyRFF1OFo2Vl9LSlI?oc=5
MSNBC’s Nicolle Wallace has seen ratings plunge since Trump prevailed on Election Day,Fox News,US,conservative,election fraud,0.3830265924334526,0.6,0.5,0.44999999925494194,0.01513296365737915,https://news.google.com/rss/articles/CBMisAFBVV95cUxQdUJma3MzZW5OU2pmajV2dHRHSWQza1B6MTROcHFqckh1MXNUYlF0TmNvaXlBQVYtM0gyQ0NZOGJBZUFFM0JqYThzMS1RcGxlQ2ZjOEdGM1pzRkp2d1VBSjB0d3FQU1pPNXBoVjU5azNkVFBQQXBmTG9jRmprek55YUtDT2NKR3FkVEhablpDT3VIMm4ta3JYaHdIdTY2Um9tN3l0TUxBWkwzbkZILURON9IBtgFBVV95cUxNQ1VLVFpCV0REX3VZWWxiME85czBKeU16SmZ2RzhJcGhxbnQ3OExKQ1N5ZXdEajVrNlBwV29GcGwyNEliUWxSVDhXN3VHVGx4SHNiWkc0SEhnTmtUTHRuM1cxWGtYWWlMbXVHb3VWQ184U215YkRPdGQ1bXdNVXFwSmI0Sml4OU9Lb0ZyblhZMlZ1N25pUzZOdHhnXzNoNVd3Sndxd0liX2k5elJ1MEpsbGNjb2dPQQ?oc=5
"Former Colombian priest, child molester sentenced for passport fraud and stripped of US citizenship",Fox News,US,conservative,election fraud,0.11368194683074952,0.4,0.03144999999999998,0.25,0.005509734153747559,https://news.google.com/rss/articles/CBMitAFBVV95cUxNcGJJb09USkp3X0pwOFJROTNicTBFT2R4OWtpaUtEWTB6d1d0V2g2VV9iMGZsYk1WekNjLVRPYmc5a00wLW5fWTRVOGpiQzBKOUNSTmRnLXg1Ul91eHdSV1hHeUtSMDJnU1VNN3JJaXo3SkdwUzdWRXFqLVNDOFg2ME5yY2dfdnZpNC1mM1NHbnB6b1ExTGRfR2hxOHpra3pSV3hwR2QwVGdGWG9VSlY4RHoxcnDSAboBQVVfeXFMT1c4SVQyV1M3dUlmQmtjelJGa19hVm8wdVlfRThtT1NMcjJxQjVXMldFWVBuWXVIX1hOTWtBUmNJWWM4MDBiNFJPckpzQVl0elQ3N21DSXgzSTFoOFFpbzhSUDZrVDljM1E1YjFoRDVUX0c4R3RaNXZDSzJfUl9BQWlfaEd2d2dEWUd3OHRaQ0ZFOFZLSExvbFRrV0xvZzcwT18wMXAtX1Zrc21LR3dTR2JjTjRNakVKaHRn?oc=5
Bloomberg Canada,Bloomberg,US,neutral,election fraud,0.4204421475529671,0.6,0.5,0.5500000007450581,0.0022107362747192383,https://news.google.com/rss/articles/CBMiR0FVX3lxTE40QkhSSUNxcGE5aGNZMHUySkNzU2FySGh2RkZDMFNFczlUNlp4UUtybWRBQjN2UGxEUE0zMmo4eVBCM2pWQjFz?oc=5
Stocks Chart Dramatic U-Turn From Record High to Recession Fears,Bloomberg,US,neutral,election fraud,0.25755491141557696,0.6,0.0937,0.5500000007450581,0.0003745555877685547,https://news.google.com/rss/articles/CBMixgFBVV95cUxPdUJreFNLakwwRFhoR0t6Y3JjTEg0Nm5lN2J4eXUzdFlWMk5OMUZnNlVYUFA2UXQwR2lZNmR3aUhZTXJhbi0tbnFWakg2eFg2UEhHT2s5dkYzVUszeVpRWWlkaV9aSnZmRjJTcG5CcGp4dDh2NDF4c1ZhSzctc1NGd2wzMldEOEhMTW5KeDVYdlRpTkg2Y0Z0d1NNQ3FVZjBwVTZuenVpT19ZcTlIQjZoZlRlaWtTUjY4NXA5cDJhbDlhVjdpN2c?oc=5
Bloomberg,Bloomberg,US,neutral,election fraud,0.420381672680378,0.6,0.5,0.5500000007450581,0.0019083619117736816,https://news.google.com/rss/articles/CBMiP0FVX3lxTE9qYU5Fb2FhR3RmNHZUdG1PZFRYOVdvalpTcXd4VjBBME5WRmxTaGphdzFWb2hGTGJVeUU1UVpLOA?oc=5
Businessweek Daily,Bloomberg,US,neutral,election fraud,0.4202504828572274,0.7,0.5,0.5500000007450581,0.0012524127960205078,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9rZzA3NW15dWxmZzV5aFBXWGtHVWNPa2w1Uzd5MXBHZkRMTDV1aEIyMFI1c1lXdTF2MVNfaFRVbVFPTDdOM2dKV3JvLWNKdE0?oc=5
Pound Slides After UK GDP Unexpectedly Shrinks,Bloomberg,US,neutral,election fraud,0.400296151638031,0.6,0.5,0.5,0.0014807581901550293,https://news.google.com/rss/articles/CBMiQkFVX3lxTFB6V2M4ejhzLTJVYjFJeXlYMzRacUJaY3ZSbkVFYVJDSzB3RE0xUkFxV1I0VXd1MzN2WUhNcVNnWi10QQ?oc=5
Georgian ex-president Saakashvili gets nine more years in jail on fraud charge,Reuters,US,neutral,election fraud,0.13591180849075318,0.5,0.08875,0.25,0.002059042453765869,https://news.google.com/rss/articles/CBMivwFBVV95cUxONGZoQWZnSU9qRXlNbjdCanFMSEZtbkl5ZXM2a2FOVEMzeF9PRzRlLTNFM19MZXhXeE9mdWduR1hKZjUtc1BjdjIyaC1GTTIxQmoyeFhmT3NKQ2VST21CUGJvVXIyQ2F5YjZlNUxvVGtMSFd4TnB1bjIwRmtlX2wtcFYxbnRpcENaa0RvYWNPT1A2YlR0WWVXRUdBTUE5UE5KV1daTnU0cl81X0dXWDhfSWxobGRXRU5FaTVGQm02bw?oc=5
CERAWEEK Venezuela's opposition drafts energy reform to raise foreign pressure on Maduro,Reuters,US,neutral,election fraud,0.32999176567077637,0.5,0.4742,0.3499999940395355,0.001558840274810791,https://news.google.com/rss/articles/CBMixAFBVV95cUxORGtOMWlrb1pVcmQ5aC1Zc042cEJfdjNMNDUtZm1xQkRpa0hqd0x6VkNNal9PeVQyOEZDREtGTTVvWlJOTnB6UlppN1ZwWWtwU2Rkek03N0JxT0RHQW1DVnFiWUZCZmhsMUNYX0FxcThVR0hyWGRaOUFhSGtXc0xUdUxFZnhhcFpjanNkYmhuWU1rVmxlU05aamtldS1aMzdjWjJfZzJ2WGtGc3dsVUpjemZfcUNaazFBZUNzZmRBVkM3Z1hP?oc=5
