week,avg_sentiment_score,std_sentiment_score,article_count
1988-02-28,0.26919233327865605,,1
1988-03-06,,,0
1988-03-13,,,0
1988-03-20,,,0
1988-03-27,,,0
1988-04-03,,,0
1988-04-10,,,0
1988-04-17,,,0
1988-04-24,,,0
1988-05-01,,,0
1988-05-08,,,0
1988-05-15,,,0
1988-05-22,,,0
1988-05-29,,,0
1988-06-05,,,0
1988-06-12,,,0
1988-06-19,,,0
1988-06-26,,,0
1988-07-03,,,0
1988-07-10,,,0
1988-07-17,,,0
1988-07-24,,,0
1988-07-31,,,0
1988-08-07,,,0
1988-08-14,,,0
1988-08-21,,,0
1988-08-28,,,0
1988-09-04,,,0
1988-09-11,,,0
1988-09-18,,,0
1988-09-25,,,0
1988-10-02,,,0
1988-10-09,,,0
1988-10-16,,,0
1988-10-23,,,0
1988-10-30,,,0
1988-11-06,,,0
1988-11-13,,,0
1988-11-20,,,0
1988-11-27,,,0
1988-12-04,,,0
1988-12-11,,,0
1988-12-18,,,0
1988-12-25,,,0
1989-01-01,,,0
1989-01-08,,,0
1989-01-15,,,0
1989-01-22,,,0
1989-01-29,,,0
1989-02-05,,,0
1989-02-12,,,0
1989-02-19,,,0
1989-02-26,,,0
1989-03-05,,,0
1989-03-12,,,0
1989-03-19,,,0
1989-03-26,,,0
1989-04-02,,,0
1989-04-09,,,0
1989-04-16,,,0
1989-04-23,,,0
1989-04-30,,,0
1989-05-07,,,0
1989-05-14,,,0
1989-05-21,,,0
1989-05-28,,,0
1989-06-04,,,0
1989-06-11,,,0
1989-06-18,,,0
1989-06-25,,,0
1989-07-02,,,0
1989-07-09,,,0
1989-07-16,,,0
1989-07-23,,,0
1989-07-30,,,0
1989-08-06,,,0
1989-08-13,,,0
1989-08-20,,,0
1989-08-27,,,0
1989-09-03,,,0
1989-09-10,,,0
1989-09-17,,,0
1989-09-24,,,0
1989-10-01,,,0
1989-10-08,,,0
1989-10-15,,,0
1989-10-22,,,0
1989-10-29,,,0
1989-11-05,,,0
1989-11-12,,,0
1989-11-19,,,0
1989-11-26,,,0
1989-12-03,,,0
1989-12-10,,,0
1989-12-17,,,0
1989-12-24,,,0
1989-12-31,,,0
1990-01-07,,,0
1990-01-14,,,0
1990-01-21,,,0
1990-01-28,,,0
1990-02-04,,,0
1990-02-11,,,0
1990-02-18,,,0
1990-02-25,,,0
1990-03-04,,,0
1990-03-11,,,0
1990-03-18,,,0
1990-03-25,,,0
1990-04-01,,,0
1990-04-08,,,0
1990-04-15,,,0
1990-04-22,,,0
1990-04-29,,,0
1990-05-06,,,0
1990-05-13,,,0
1990-05-20,,,0
1990-05-27,,,0
1990-06-03,,,0
1990-06-10,,,0
1990-06-17,,,0
1990-06-24,,,0
1990-07-01,,,0
1990-07-08,,,0
1990-07-15,,,0
1990-07-22,,,0
1990-07-29,,,0
1990-08-05,,,0
1990-08-12,,,0
1990-08-19,,,0
1990-08-26,,,0
1990-09-02,,,0
1990-09-09,,,0
1990-09-16,,,0
1990-09-23,,,0
1990-09-30,,,0
1990-10-07,,,0
1990-10-14,,,0
1990-10-21,,,0
1990-10-28,,,0
1990-11-04,,,0
1990-11-11,,,0
1990-11-18,,,0
1990-11-25,,,0
1990-12-02,,,0
1990-12-09,,,0
1990-12-16,,,0
1990-12-23,,,0
1990-12-30,,,0
1991-01-06,,,0
1991-01-13,,,0
1991-01-20,,,0
1991-01-27,,,0
1991-02-03,,,0
1991-02-10,,,0
1991-02-17,,,0
1991-02-24,,,0
1991-03-03,,,0
1991-03-10,,,0
1991-03-17,,,0
1991-03-24,,,0
1991-03-31,,,0
1991-04-07,,,0
1991-04-14,,,0
1991-04-21,,,0
1991-04-28,,,0
1991-05-05,,,0
1991-05-12,,,0
1991-05-19,,,0
1991-05-26,,,0
1991-06-02,,,0
1991-06-09,,,0
1991-06-16,,,0
1991-06-23,,,0
1991-06-30,,,0
1991-07-07,,,0
1991-07-14,,,0
1991-07-21,,,0
1991-07-28,,,0
1991-08-04,,,0
1991-08-11,,,0
1991-08-18,,,0
1991-08-25,,,0
1991-09-01,,,0
1991-09-08,,,0
1991-09-15,,,0
1991-09-22,,,0
1991-09-29,,,0
1991-10-06,,,0
1991-10-13,,,0
1991-10-20,,,0
1991-10-27,,,0
1991-11-03,,,0
1991-11-10,,,0
1991-11-17,,,0
1991-11-24,,,0
1991-12-01,,,0
1991-12-08,,,0
1991-12-15,,,0
1991-12-22,,,0
1991-12-29,,,0
1992-01-05,,,0
1992-01-12,,,0
1992-01-19,,,0
1992-01-26,,,0
1992-02-02,,,0
1992-02-09,,,0
1992-02-16,,,0
1992-02-23,,,0
1992-03-01,,,0
1992-03-08,,,0
1992-03-15,,,0
1992-03-22,,,0
1992-03-29,,,0
1992-04-05,,,0
1992-04-12,,,0
1992-04-19,,,0
1992-04-26,,,0
1992-05-03,,,0
1992-05-10,,,0
1992-05-17,,,0
1992-05-24,,,0
1992-05-31,,,0
1992-06-07,,,0
1992-06-14,,,0
1992-06-21,,,0
1992-06-28,,,0
1992-07-05,,,0
1992-07-12,,,0
1992-07-19,,,0
1992-07-26,,,0
1992-08-02,,,0
1992-08-09,,,0
1992-08-16,,,0
1992-08-23,,,0
1992-08-30,,,0
1992-09-06,,,0
1992-09-13,,,0
1992-09-20,,,0
1992-09-27,,,0
1992-10-04,,,0
1992-10-11,,,0
1992-10-18,,,0
1992-10-25,,,0
1992-11-01,,,0
1992-11-08,,,0
1992-11-15,,,0
1992-11-22,,,0
1992-11-29,,,0
1992-12-06,,,0
1992-12-13,,,0
1992-12-20,,,0
1992-12-27,,,0
1993-01-03,,,0
1993-01-10,,,0
1993-01-17,,,0
1993-01-24,,,0
1993-01-31,,,0
1993-02-07,,,0
1993-02-14,,,0
1993-02-21,,,0
1993-02-28,,,0
1993-03-07,,,0
1993-03-14,,,0
1993-03-21,,,0
1993-03-28,,,0
1993-04-04,,,0
1993-04-11,,,0
1993-04-18,,,0
1993-04-25,,,0
1993-05-02,,,0
1993-05-09,,,0
1993-05-16,,,0
1993-05-23,,,0
1993-05-30,,,0
1993-06-06,,,0
1993-06-13,,,0
1993-06-20,,,0
1993-06-27,,,0
1993-07-04,,,0
1993-07-11,,,0
1993-07-18,,,0
1993-07-25,,,0
1993-08-01,,,0
1993-08-08,,,0
1993-08-15,,,0
1993-08-22,,,0
1993-08-29,,,0
1993-09-05,,,0
1993-09-12,,,0
1993-09-19,,,0
1993-09-26,,,0
1993-10-03,,,0
1993-10-10,,,0
1993-10-17,,,0
1993-10-24,,,0
1993-10-31,,,0
1993-11-07,,,0
1993-11-14,,,0
1993-11-21,,,0
1993-11-28,,,0
1993-12-05,,,0
1993-12-12,,,0
1993-12-19,,,0
1993-12-26,,,0
1994-01-02,,,0
1994-01-09,,,0
1994-01-16,,,0
1994-01-23,,,0
1994-01-30,,,0
1994-02-06,,,0
1994-02-13,,,0
1994-02-20,,,0
1994-02-27,,,0
1994-03-06,,,0
1994-03-13,,,0
1994-03-20,,,0
1994-03-27,,,0
1994-04-03,,,0
1994-04-10,,,0
1994-04-17,,,0
1994-04-24,,,0
1994-05-01,,,0
1994-05-08,,,0
1994-05-15,,,0
1994-05-22,,,0
1994-05-29,,,0
1994-06-05,,,0
1994-06-12,,,0
1994-06-19,,,0
1994-06-26,,,0
1994-07-03,,,0
1994-07-10,,,0
1994-07-17,,,0
1994-07-24,,,0
